Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
23013953,Gut: The Inside Story of Our Body's Most Underrated Organ,Giulia Enders,"Enders, Giulia",Jill Enders,"=""1771641495""","=""9781771641494""",4,4.07,Greystone Books,Paperback,273,2015,2014,,2018/10/13,,,read,,,,1,0
309169,Manuale del guerriero della luce,Paulo Coelho,"Coelho, Paulo",Rita Desti,"=""8845231836""","=""9788845231834""",5,3.69,Bompiani,Paperback,160,2005,1997,2018/10/06,2018/09/17,,,read,,,,1,0
36346821,Esercizi di memoria,Andrea Camilleri,"Camilleri, Andrea",,"=""8817096911""","=""9788817096911""",5,4.14,Rizzoli,Paperback,242,2017,2017,2018/09/20,2018/09/07,,,read,,,,1,0
41077096,Il gioco dell'assassino (Italian Edition),Sandra Scoppettone,"Scoppettone, Sandra",,"=""""","=""""",5,3.61,EDIZIONI PIEMME,Kindle Edition,167,2018,1991,,2018/08/14,,,read,,,,1,0
16299,And Then There Were None,Agatha Christie,"Christie, Agatha",,"=""0312330871""","=""9780312330873""",4,4.28,St. Martin's Griffin,Paperback,264,2004,1939,,2018/08/14,,,read,,,,1,0
17675462,"The Raven Boys (The Raven Cycle, #1)",Maggie Stiefvater,"Stiefvater, Maggie",,"=""0545424925""","=""9780545424929""",5,4.05,Scholastic Press,Hardcover,409,2012,2012,,2018/08/14,,,read,,,,1,0
34320287,Il mestiere dello scrittore,Haruki Murakami,"Murakami, Haruki",Antonietta Pastore,"=""""","=""""",4,3.89,Einaudi,Kindle Edition,186,2017,2015,,2018/08/14,,,read,,,,1,0
8152051,Kafka sulla spiaggia,Haruki Murakami,"Murakami, Haruki",Giorgio Amitrano,"=""8806186035""","=""9788806186036""",3,4.14,Einaudi,Hardcover,522,2008,2002,,2018/08/14,,,read,,,,1,0
15768409,"The Retribution of Mara Dyer (Mara Dyer, #3)",Michelle Hodkin,"Hodkin, Michelle",,"=""1442484233""","=""9781442484238""",2,4.07,Simon & Schuster Books for Young Readers,Hardcover,470,2014,2014,,2018/08/14,,,read,,,,1,0
13643567,"The Evolution of Mara Dyer (Mara Dyer, #2)",Michelle Hodkin,"Hodkin, Michelle",,"=""""","=""""",4,4.26,Simon & Schuster Books for Young Readers,Kindle Edition,545,2012,2012,,2018/08/14,,,read,,,,1,0
11408650,"The Unbecoming of Mara Dyer (Mara Dyer, #1)",Michelle Hodkin,"Hodkin, Michelle",,"=""""","=""""",4,4.03,Simon & Schuster Books for Young Readers,Kindle Edition,456,2011,2011,,2018/08/14,,,read,,,,1,0
23482622,"Verum (The Nocte Trilogy, #2)",Courtney Cole,"Cole, Courtney",,"=""""","=""""",2,3.98,"Lakehouse Press, Inc.",Kindle Edition,221,2015,2015,,2018/08/14,,,read,,,,1,0
23312692,"Nocte (The Nocte Trilogy, #1)",Courtney Cole,"Cole, Courtney",,"=""""","=""""",2,4.12,"Lakehouse Press, Inc.",Kindle Edition,322,2014,2014,,2018/08/14,,,read,,,,1,0
16068905,Fangirl,Rainbow Rowell,"Rowell, Rainbow",,"=""""","=""""",3,3.96,St. Martin's Griffin,Kindle Edition,483,2013,2013,,2018/08/14,,,read,,,,1,0
13437163,Il mistero di Agnes Cecilia,Maria Gripe,"Gripe, Maria",,"=""8838437157""","=""9788838437151""",5,4.04,Edizioni Piemme,Paperback,260,1994,1978,,2018/08/14,,,read,,,,1,0
19297167,"La banda di via Panisperna: Fermi, Majorana e i fisici che hanno cambiato la storia",Giorgio Colangelo,"Colangelo, Giorgio",Massimo Temporelli,"=""""","=""""",4,3.74,Hoepli,Kindle Edition,170,2013,2013,,2018/08/14,,,read,,,,1,0
853510,"Murder on the Orient Express (Hercule Poirot, #10)",Agatha Christie,"Christie, Agatha",,"=""0007119313""","=""9780007119318""",4,4.20,HarperCollins,Paperback,274,2007,1934,,2018/08/14,,,read,,,,1,0
4837823,In risaia: Racconto di Natale,Marchesa Colombi,"Colombi, Marchesa","Silvia Benatti, Cesare Bermani, Carlo Emilio Gadda","=""8882122697""","=""9788882122690""",3,3.59,Interlinea,Paperback,112,2001,1877,,2018/08/14,,,read,,,,1,0
